Protocolo,Data,Assunto,Situação,Regime,Autoria
00594/2024,20/02/2024,Solicita informações sobre nebulização de inseticida no município. Entre outras informações.,Protocolada,Ordinário,MARCOS SABINO FERNANDES
00593/2024,20/02/2024,Moção de Repúdio ao Excelentíssimo Presidente da República Luiz Inácio Lula da Silva pelas declarações sobre Israel.,Protocolada,Ordinário,JOSÉ EDUARDO DE CAMPOS PACHECO
00580/2024,19/02/2024,Solicita melhorias nas ruas do bairro Cancian,Protocolada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00533/2024,19/02/2024,Solicita troca de lâmpadas queimadas na rodoviária,Protocolada,Ordinário,DENILTON ROCHA DOS SANTOS
00526/2024,19/02/2024,Solicita melhorias na ponte (Pontinha do SAAE) entre a rotatória do Ginásio Ronaldão e o bairro Estação,Protocolada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00525/2024,19/02/2024,"Solicita um mutirão de corte de mato na cidade em pontos com possível foco de proliferação do mosquito da dengue, e conscientização de proprietários de terrenos",Protocolada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00524/2024,19/02/2024,Solicita mutirão para corte de mato na cidade,Protocolada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00579/2024,19/02/2024,"Que cria os cargos de assistente social com pós-graduação em oncologia, fisioterapeuta uroginecológico, fisioterapeuta neonatal e pediátrico e neurologista com pós graduação em neuropediatria.",Protocolado,Ordinário,Poder Executivo
00522/2024,19/02/2024,"Solicita as seguintes informações;I - Existe um cronograma de limpeza no Cemitério São João Batista? Se sim, favor enviar uma cópia contendo datas e quais serviços são efetuados;II – Dentre os serviços de limpeza consta a retiradas dos pés de goiaba que estão sobre os túmulos? Se sim quando será realizado, uma vez que, essas frutas podem estar contaminadas com bactérias.",Protocolada,Ordinário,MARCOS SABINO FERNANDES
00523/2024,19/02/2024,Moção de Pesar aos familiares da senhora Edna Mazzini Ferreira.,Protocolada,Ordinário,RUAN HENRIQUE PELLEGRINI BRAGGION
00409/2024,16/02/2024,Solicita a valorização da carreira de motorista do quadro de servidores da Prefeitura de Capivari,Protocolada,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00408/2024,16/02/2024,Solicita a valorização e reajuste acima dos índices oficiais aos servidores municipais de Capivari,Tramitando,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00407/2024,16/02/2024,"Solicita aumento no auxílio alimentação para R$ 700,00 (setecentos reais) aos servidores municipais de Capivari",Tramitando,Ordinário,THIAGO JUNIOR ANESIO BRAGGION
00393/2024,16/02/2024,"Moção de Congratulações, ao Coral Misto Regional AD Perus Capivari, da Igreja Evangélica Assembleia de Deus – Ministério de Perus.",Protocolada,Ordinário,VINÍCIUS SCARSO
00410/2024,16/02/2024,"Moção de Aplausos à Escola de Samba “Vai Com Tudo e + 10”, pelos 50 anos de fundação.",Protocolada,Ordinário,"THIAGO JUNIOR ANESIO BRAGGION, JEISELE RENATA ROSADA"
00389/2024,16/02/2024,"Moção de Aplausos, à Igreja Evangélica Assembleia de Deus – Ministério de Indaiatuba, por implementar em nosso município o Projeto Amparo Infantil.",Protocolada,Ordinário,NELSON DE SOUSA SOARES
00343/2024,09/02/2024,Solicita melhorias na quadra de areia da área de lazer Gilson Gozzo.,Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00342/2024,09/02/2024,Solicita reforço na pintura de solo e instalação de placas de trânsito nas ruas do Bairro Parque Residencial Santa Rita.,Aprovada,Ordinário,PALOMA TATIANE DA SILVA
00344/2024,09/02/2024,Solicita informações sobre melhorias na quadra de areia existente no Parque Residencial Santa Rita.,Aprovada,Ordinário,PALOMA TATIANE DA SILVA
